timestamp,imu_linear_acc_x,imu_linear_acc_y,imu_linear_acc_z,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,odom_pos_x,odom_pos_y,odom_pos_z,odom_vel_x,odom_vel_y,odom_vel_z,pwm_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7
154.42,0.02905072349674631,0.2103168387039941,9.819813180575425,0.005794066713373314,0.016744745178399897,0.00037943732663770977,3.4119646553838625,2.614857986318567,-0.39961301295499385,0.9773918309657024,0.44063443081894116,-0.030293227067060967,1288.0,1380.0,1620.0,1712.0,1500.0,1500.0,1500.0,1500.0
154.44,0.02905072349674631,0.2103168387039941,9.819813180575425,0.005794066713373314,0.016744745178399897,0.00037943732663770977,3.4314090920118874,2.6237674862579943,-0.39959336363425185,0.9725833051149188,0.44370344820968777,-0.029549648399160598,1296.0,1380.0,1620.0,1704.0,1500.0,1500.0,1500.0,1500.0
154.46,0.0042764765123112225,-0.018733855530009197,9.808815981423125,0.0012766909628301253,0.015117917384291732,0.0003716761869932678,3.4507557867771705,2.63269985772428,-0.3995690335959868,0.9677191429813963,0.4448478907568162,-0.028915905085712002,1296.0,1380.0,1620.0,1704.0,1500.0,1500.0,1500.0,1500.0
154.48,0.046609873613866426,-0.012606802968310155,9.80260665435372,-0.0011659526891246307,0.01440369950648966,0.00036790407294968043,3.469996394600478,2.641600335008849,-0.39954298922720394,0.9624285669093844,0.4432557046601039,-0.028390756944233285,1308.0,1376.0,1624.0,1692.0,1500.0,1500.0,1500.0,1500.0
154.5,0.08140414242361615,-0.007310797864808052,9.79655145344265,-0.0028104281556735403,0.013333698224292185,0.00036498567444978103,3.4891483375973515,2.6504705225047505,-0.3995172103257214,0.9580054626901504,0.44174298853582245,-0.027985539316953984,1308.0,1376.0,1624.0,1692.0,1500.0,1500.0,1500.0,1500.0
154.52,-0.35546396084110987,-0.5785682128018743,9.791049725506534,-0.0044331335975709716,0.012610959921773733,0.0003617304055132587,3.5082245856482572,2.6593104240895116,-0.3994937393418376,0.9542270237940269,0.44022960675771206,-0.027709355725540653,1308.0,1376.0,1624.0,1692.0,1500.0,1500.0,1500.0,1500.0
154.54,-0.35546396084110987,-0.5785682128018743,9.791049725506534,-0.0044331335975709716,0.012610959921773733,0.0003617304055132587,3.5271274762386864,2.6679808882320875,-0.39947824572368446,0.9455478292850679,0.431767611185118,-0.027517272961241467,1346.0,1372.0,1628.0,1654.0,1500.0,1500.0,1500.0,1500.0
154.56,-0.28005187227315553,-0.4880639408491799,9.784919550256141,-0.013675156766914274,0.018382531262534724,0.00034232323838418984,3.54582370262699,2.6764162902054998,-0.3994735396432425,0.9351958773990094,0.4200296421564965,-0.027314207860283813,1346.0,1372.0,1628.0,1654.0,1500.0,1500.0,1500.0,1500.0
154.58,-0.28005187227315553,-0.4880639408491799,9.784919550256141,-0.013675156766914274,0.018382531262534724,0.00034232323838418984,3.564317239524015,2.6846344070508805,-0.3994800562805331,0.925044596231807,0.40918222155776973,-0.027081604134988328,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.6,-0.12779579114891232,-0.4166523036768672,9.787082940987116,-0.016493384629345933,0.020984925179539947,0.000327577153650869,3.582632826212312,2.692651379057515,-0.3994968532642079,0.9161331923161947,0.39914108864894554,-0.026804464235553438,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.62,-0.07122457204866062,-0.38624893318731196,9.790873740448603,-0.016356098985881726,0.020721550175104315,0.00032264492719858334,3.6007990442003943,2.700481885476344,-0.39952212729566616,0.9086540774737839,0.3898323215858778,-0.026474575256128223,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.64,-0.07122457204866062,-0.38624893318731196,9.790873740448603,-0.016356098985881726,0.020721550175104315,0.00032264492719858334,3.618839723426726,2.7081392999209193,-0.399553571210133,0.9023697482038411,0.38119061891757827,-0.026082173629290106,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.66,0.01439944431975096,-0.33346024477915126,9.801760612628474,-0.014377517721163644,0.018351177439835043,0.0003160782167385035,3.636774785137394,2.715635836163785,-0.39958852239531173,0.8970847635714874,0.3731579954744441,-0.025618714085732786,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.68,0.04671731033175766,-0.3103396940235442,9.807786310067574,-0.012947610789793604,0.016657867110022474,0.00031398276076116465,3.6546209178819518,2.7229826721786075,-0.3996241466784528,0.8926373615899881,0.3656826891335572,-0.02507990058136874,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.7,0.0736835082037883,-0.28903177200541974,9.813459746642128,-0.011423422612651935,0.014833486537596412,0.000312441296635643,3.6723921248867946,2.730190056892623,-0.39965764087303174,0.8888930061595965,0.35871829322471066,-0.02446782653888887,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.72,0.0962349425925284,-0.26932656546705885,9.818270978545454,-0.009906355190170172,0.012986116359394185,0.00031131829164456905,3.6901001710274284,2.737267402964453,-0.3996864360466292,0.8857393625621853,0.35222305512956364,-0.02379207755474708,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.74,0.11513183471093671,-0.25105400521174515,9.821793798367546,-0.008466493037264012,0.011191822249082217,0.0003105068219679177,3.7077549504669824,2.7442233680822437,-0.39970838406188736,0.8830823422779457,0.34615929887500696,-0.023069785448442313,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.76,0.13099484658032845,-0.23407476183262282,9.82371706611285,-0.00714853008631871,0.009500691178974502,0.00030992414303279974,3.725364790881037,2.7510659266913557,-0.39972191185044215,0.8808429576403654,0.340492942302877,-0.022324724721440477,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.78,0.14433382260139238,-0.2182730144308035,9.823866447214812,-0.005977223896911788,0.007942729989359425,0.0003095074476300995,3.74293670644498,2.7578024336378872,-0.39972613094222154,0.8789547966436491,0.33519308833401895,-0.021585616929178174,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.8,0.1555700232230922,-0.20355077848455289,9.822215192393486,-0.004962227895517614,0.00653319170095265,0.0003092099331208153,3.7604766090062896,2.7644396809034704,-0.399720893684205,0.8773619772894069,0.3302316757624984,-0.020883859004323185,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.82,0.16505328922429444,-0.1898235307009476,9.818883412616428,-0.004102243592084756,0.00527710315169732,0.00030899730932261134,3.7779894848170925,2.7709839483737926,-0.3997067920160207,0.8760174757035397,0.3255831787657623,-0.02025092080749822,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.84,0.17307526374299315,-0.1770169072601986,9.81412611051537,-0.003388488131809986,0.004172903458188448,0.00030884482810502743,3.795479542667327,2.7774410494054402,-0.3996850992915941,0.8748817474111459,0.3212243466393804,-0.019715667034752186,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.86,0.17987957163697718,-0.16506427980566793,9.80831100028697,-0.002807504493529726,0.003215193530713423,0.00030873485405504193,3.812950338100231,2.783816371818408,-0.3996576601211179,0.8739215797271062,0.31713397676671784,-0.019301850667141792,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
